cause,year,fires,acres,median_size
Arson,1992,11162,267327.29000000743,2.0
Arson,1993,10945,193621.7730000055,2.0
Arson,1994,10080,477147.63699998736,2.0
Arson,1995,12648,290068.8800000042,2.0
Arson,1996,10206,514985.9799999912,2.0
Arson,1997,10936,177105.17000000508,2.0
Arson,1998,14103,302850.9800100079,2.0
Arson,1999,19282,707899.8609999632,2.2
Arson,2000,17827,659805.8109999703,2.0
Arson,2001,16939,470140.7999999718,2.0
Arson,2002,12785,1003302.1926799705,2.0
Arson,2003,10006,440481.2141899857,1.4
Arson,2004,11429,277178.73098999605,2.0
Arson,2005,13354,352592.8540099907,2.0
Arson,2006,18902,557676.1949599689,2.0
Arson,2007,13600,437086.8611799823,1.3
Arson,2008,9483,290579.52074999426,1.0
Arson,2009,8842,439684.2774999785,1.085
Arson,2010,10196,202693.8560000052,1.1749999999999998
Arson,2011,9109,387772.28999998735,1.5
Arson,2012,9560,414064.7679999777,1.0
Arson,2013,6590,291194.95900000294,1.0
Arson,2014,6845,142213.08870000494,1.0
Arson,2015,6626,189799.17000000706,1.0
Campfire,1992,2570,26931.739999999416,0.1
Campfire,1993,2767,30402.97899999859,0.1
Campfire,1994,3726,69247.39999999979,0.2
Campfire,1995,3987,68101.02299999856,0.3
Campfire,1996,4038,154556.5500000053,0.3
Campfire,1997,2490,17847.75000000003,0.1
Campfire,1998,2661,13626.520000000119,0.1
Campfire,1999,3266,51843.40999999991,0.2
Campfire,2000,2723,143085.4500000011,0.1
Campfire,2001,3121,76039.0199999997,0.1
Campfire,2002,3022,311659.5110000022,0.1
Campfire,2003,2436,402416.39499998785,0.1
Campfire,2004,2266,57698.729999999254,0.1
Campfire,2005,3662,129945.05700000239,0.5
Campfire,2006,2845,201249.75600000596,0.1
Campfire,2007,3510,289151.18651000375,0.2
Campfire,2008,3336,156385.5599900088,0.1
Campfire,2009,3314,58829.04499999813,0.1
Campfire,2010,3585,139809.14950000047,0.14
Campfire,2011,3015,743238.9799999874,0.1
Campfire,2012,3471,159533.32100000838,0.1
Campfire,2013,2796,36226.02999999861,0.1
Campfire,2014,3801,42934.18499999918,0.54
Campfire,2015,3731,48302.71299999957,0.25
Children,1992,2916,50900.502999998826,0.4
Children,1993,2501,13744.149000000236,0.5
Children,1994,3201,14479.984000000259,0.3
Children,1995,3310,16675.848000000286,0.5
Children,1996,3039,18374.69400000012,0.5
Children,1997,2884,7013.030000000123,0.3
Children,1998,3109,13890.350000000284,0.5
Children,1999,3517,14746.892000000325,0.5
Children,2000,3492,23974.109999999662,0.5
Children,2001,3537,14353.09000000033,0.5
Children,2002,2906,33293.96499999949,0.5
Children,2003,2250,32532.2899999991,0.3
Children,2004,2041,28752.528089999465,0.4
Children,2005,2507,12814.985000000206,0.5
Children,2006,3186,51539.84899999966,0.48
Children,2007,2580,51125.47098999889,0.3
Children,2008,2215,7461.92999000006,0.5
Children,2009,1890,24462.279999999482,0.3
Children,2010,1903,5325.320000000034,0.3
Children,2011,1894,10840.650000000098,0.5
Children,2012,2119,5796.655000000074,0.3
Children,2013,1400,3994.3199999999633,0.3
Children,2014,1420,6883.5050000000765,0.3
Children,2015,1350,6853.890000000077,0.375
Debris Burning,1992,12729,154201.14200000744,1.0
Debris Burning,1993,12353,109894.68300000326,1.0
Debris Burning,1994,14845,182475.81000000957,1.0
Debris Burning,1995,16719,191292.64100000952,1.0
Debris Burning,1996,16827,269211.2100000083,1.3
Debris Burning,1997,14750,166325.85000000798,1.0
Debris Burning,1998,15111,138022.1400000085,1.0
Debris Burning,1999,22343,337269.99999998446,1.0
Debris Burning,2000,21790,378198.5799999784,1.0
Debris Burning,2001,21377,295063.09400000924,1.0
Debris Burning,2002,19269,225704.48700000922,1.0
Debris Burning,2003,12546,227632.0430000094,1.0
Debris Burning,2004,16911,196057.5009800086,1.0
Debris Burning,2005,18703,310559.65800999827,1.09
Debris Burning,2006,25951,530691.4809999815,1.06
Debris Burning,2007,18703,231665.2069600097,1.05
Debris Burning,2008,18825,325065.64372998674,1.0
Debris Burning,2009,18402,266316.90042700816,1.0
Debris Burning,2010,19835,217769.7695000071,1.0
Debris Burning,2011,19524,434531.79099999083,1.0
Debris Burning,2012,16613,175191.50100000936,1.0
Debris Burning,2013,16703,115012.63089999979,1.0
Debris Burning,2014,19860,264696.95309601346,1.0
Debris Burning,2015,18339,232941.9950000125,1.0
Equipment Use,1992,5633,136179.23900000576,0.72
Equipment Use,1993,5516,122668.21000000421,0.5
Equipment Use,1994,5429,137054.61000000546,0.5
Equipment Use,1995,5594,116224.27900000391,0.5
Equipment Use,1996,6028,520321.41999998194,0.8
Equipment Use,1997,5744,117987.81000000372,0.5
Equipment Use,1998,6027,210612.29000000842,0.5
Equipment Use,1999,7643,376550.7290999727,0.8
Equipment Use,2000,6608,456780.7739999812,1.0
Equipment Use,2001,6581,210882.16100000762,0.6
Equipment Use,2002,5382,273881.712000005,0.5
Equipment Use,2003,5595,171709.88400000913,0.47
Equipment Use,2004,5526,142335.71000000287,0.49
Equipment Use,2005,7148,253325.38699000698,0.83
Equipment Use,2006,9569,401183.1259899955,1.0
Equipment Use,2007,7230,619006.2439999742,1.0
Equipment Use,2008,7464,334408.2817999942,1.0
Equipment Use,2009,6225,186244.45500000348,1.0
Equipment Use,2010,5809,184541.8688900029,1.0
Equipment Use,2011,6896,668898.219999995,1.0
Equipment Use,2012,5628,414226.9349999793,1.0
