year,fires,acres,median_size
1992,67975,2199958.0010006162,1.0
1993,61989,2191696.003000703,1.0
1994,75955,4116675.529001074,0.9
1995,71472,2049585.0580006833,1.0
1996,75574,6005155.708997327,1.0
1997,61450,3214635.310000685,1.0
1998,68370,2011102.4000106575,1.0
1999,89363,6080199.71528615,1.0
2000,96416,7639498.6439948045,1.0
2001,86587,3724072.30400108,0.8
2002,75656,6803258.397754414,0.8
2003,68261,4483572.945758978,0.5
2004,69279,8234208.17413507,0.5
2005,88604,9665105.128013862,1.0
2006,114004,10043497.911544891,1.0
2007,95573,9265428.728143834,1.0
2008,85378,5406532.106677623,1.0
2009,78325,6057166.106711094,1.0
2010,79889,3493455.2156902812,1.0
2011,90552,9623597.287495853,1.0
2012,72769,9439888.45199436,0.8
2013,64780,4492502.414909766,0.5
2014,67753,3673490.39271306,0.59
2015,74491,10218267.617792603,0.5
