state,cause,year,fires,acres,median_size
AK,Arson,1992,21,2806.599999999999,0.2
AK,Arson,1993,29,280.70000000000005,0.3
AK,Arson,1994,18,7.499999999999998,0.1
AK,Arson,1995,16,207.69999999999996,0.2
AK,Arson,1996,43,82939.50000000017,0.1
AK,Arson,1997,8,957.6,2.5
AK,Arson,1998,9,507.20000000000005,3.0
AK,Arson,1999,4,18723.0,1.25
AK,Arson,2000,11,43.2,2.0
AK,Arson,2001,30,2441.7999999999997,1.25
AK,Arson,2002,7,254534.9,4.0
AK,Arson,2003,11,959.8,0.3
AK,Arson,2004,13,1331.3999999999994,0.1
AK,Arson,2005,12,140.79999999999995,0.1
AK,Arson,2006,24,152.39999999999992,0.1
AK,Arson,2007,18,2410.899999999999,0.3
AK,Arson,2008,42,600.9000000000004,0.1
AK,Arson,2009,25,38689.59999999999,0.5
AK,Arson,2010,43,7203.600000000002,0.3
AK,Arson,2011,35,975.6000000000003,0.2
AK,Arson,2012,6,4.999999999999999,0.3
AK,Arson,2013,6,87155.20000000001,0.1
AK,Arson,2014,14,16.380000000000003,0.1
AK,Arson,2015,13,220.89999999999995,1.0
AK,Campfire,1992,68,516.800000000001,0.1
AK,Campfire,1993,128,69.39999999999993,0.1
AK,Campfire,1994,69,3572.1999999999994,0.1
AK,Campfire,1995,38,201.89999999999992,0.1
AK,Campfire,1996,116,4059.999999999996,0.1
AK,Campfire,1997,92,956.7000000000013,0.1
AK,Campfire,1998,70,46.00000000000001,0.1
AK,Campfire,1999,45,10.399999999999995,0.1
AK,Campfire,2000,57,824.800000000001,0.1
AK,Campfire,2001,69,280.20000000000005,0.1
AK,Campfire,2002,52,1837.4,0.1
AK,Campfire,2003,82,727.5100000000008,0.1
AK,Campfire,2004,128,10437.450000000019,0.1
AK,Campfire,2005,49,672.3000000000004,0.1
AK,Campfire,2006,35,1325.3999999999976,0.1
AK,Campfire,2007,37,12.899999999999991,0.1
AK,Campfire,2008,39,10.59999999999999,0.1
AK,Campfire,2009,53,3445.6099999999974,0.1
AK,Campfire,2010,76,96135.55000000005,0.1
AK,Campfire,2011,85,39.60000000000006,0.1
AK,Campfire,2012,47,180.09999999999988,0.1
AK,Campfire,2013,62,63.60000000000004,0.1
AK,Campfire,2014,20,3.2000000000000006,0.1
AK,Campfire,2015,29,1008.8000000000002,0.1
AK,Children,1992,39,18.39999999999999,0.1
AK,Children,1993,57,25.60000000000002,0.1
AK,Children,1994,51,206.69999999999968,0.1
AK,Children,1995,37,11.299999999999992,0.1
AK,Children,1996,63,74.10000000000005,0.1
AK,Children,1997,45,6.4999999999999964,0.1
AK,Children,1998,35,10.999999999999991,0.1
AK,Children,1999,34,109.3,0.1
AK,Children,2000,19,2.800000000000001,0.1
AK,Children,2001,24,11.499999999999998,0.15000000000000002
AK,Children,2002,27,105.39999999999992,0.1
AK,Children,2003,17,3.600000000000001,0.1
AK,Children,2004,19,3.2000000000000015,0.1
AK,Children,2005,14,67.29999999999998,0.1
AK,Children,2006,8,2.0,0.1
AK,Children,2007,11,16.6,0.1
AK,Children,2008,9,3.6,0.1
AK,Children,2009,10,15.699999999999998,0.1
AK,Children,2010,15,3.350000000000001,0.1
AK,Children,2011,18,7.1,0.1
AK,Children,2012,11,4.0,0.1
AK,Children,2013,6,2.2,0.1
AK,Debris Burning,1992,99,330.0000000000003,0.3
AK,Debris Burning,1993,98,1548.0999999999965,0.2
AK,Debris Burning,1994,110,1341.1999999999953,0.1
AK,Debris Burning,1995,111,4805.6000000000095,0.3
AK,Debris Burning,1996,174,37255.09999999987,0.1
AK,Debris Burning,1997,140,366.69999999999965,0.1
AK,Debris Burning,1998,104,83.30000000000008,0.1
AK,Debris Burning,1999,106,4731.800000000019,0.1
AK,Debris Burning,2000,83,52.30000000000003,0.1
AK,Debris Burning,2001,105,88891.6000000003,0.1
AK,Debris Burning,2002,150,26573.99999999998,0.2
AK,Debris Burning,2003,135,20083.099999999908,0.1
AK,Debris Burning,2004,111,91.94999999999978,0.1
AK,Debris Burning,2005,122,904.4000000000016,0.1
AK,Debris Burning,2006,97,119177.3,0.1
AK,Debris Burning,2007,72,75.69999999999999,0.2
AK,Debris Burning,2008,87,72.20000000000002,0.1
AK,Debris Burning,2009,91,65.9,0.1
AK,Debris Burning,2010,78,44.77000000000005,0.1
AK,Debris Burning,2011,93,113.04999999999986,0.1
