state,year,fires,acres,median_size
AK,1992,481,142717.4000000011,0.2
AK,1993,861,687191.4999999922,0.2
AK,1994,640,261964.90000000162,0.2
AK,1995,418,43962.09999999973,0.1
AK,1996,718,598797.1999999923,0.1
AK,1997,721,2026204.500000026,0.2
AK,1998,408,120782.10000000127,0.1
AK,1999,482,1005843.6999899946,0.2
AK,2000,364,756379.1999999961,0.2
AK,2001,361,219924.70000000118,0.1
AK,2002,538,2186646.100000022,0.2
AK,2003,478,601674.0099999944,0.1
AK,2004,694,6591868.600189909,0.3
AK,2005,619,4635898.651999946,1.0
AK,2006,301,254513.80000000077,0.1
AK,2007,513,634466.100019996,0.5
AK,2008,369,92477.6000000008,0.2
AK,2009,513,2949593.970000016,0.3
AK,2010,691,1137532.6699999992,0.5
AK,2011,508,293004.09999999986,0.1
AK,2012,409,300586.9999999962,0.3
AK,2013,592,1320759.3000000212,0.2
AK,2014,393,233601.2800000013,0.1
AK,2015,771,5136703.75999993,2.0
AL,1992,93,1253.2,4.0
AL,1993,137,2336.7999999999997,3.0
AL,1994,3452,34664.399999999834,3.0
AL,1995,4230,38896.59999999985,2.0
AL,1996,4048,47683.199999999684,3.0
AL,1997,2591,22055.400000000016,2.0
AL,1998,3566,35560.59999999978,2.6500000000000004
AL,1999,4501,52548.199999999386,2.7
AL,2000,6264,88267.39999999992,3.0
AL,2001,3309,39095.09999999971,3.0
AL,2002,2926,38695.99999999981,3.0
AL,2003,1824,20772.47000000002,4.0
AL,2004,3054,46886.83999999978,5.0
AL,2005,2547,43207.969999999856,5.0
AL,2006,3947,79549.12000000004,5.0
AL,2007,3833,56785.18999999967,3.0
AL,2008,2012,23296.29,3.0
AL,2009,1372,24927.739999999976,5.0
AL,2010,2913,42078.46999999978,4.0
AL,2011,2042,54097.17999999992,5.0
AL,2012,1747,29156.46,3.0
AL,2013,1670,29935.409999999665,3.0
AL,2014,2418,37961.50499999914,2.0
AL,2015,2074,30833.709999999443,2.0
AR,1992,128,1478.4999999999995,4.0
AR,1993,151,1760.1999999999994,2.0
AR,1994,167,2303.8999999999965,2.0
AR,1995,240,5190.400000000001,2.5
AR,1996,224,5286.800000000001,3.0
